source_viewport,tag,source_classes,observed_width,observed_height,font_size,font_weight,line_height,padding,gap,radius,overflow_y
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__sportTabLabel,20.75,14.25,12px,700,14.4px,0px,normal,0px,hidden
1363x936,BUTTON,EuropeanSportsTheme-module__rRO-Da__sportTab ,33.312,84,11px,850,16.5px,8px 4px,6px,5px,hidden
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__leagueList,328.5,696,16px,400,24px,10px,0px,0px,auto
1363x936,SECTION,EuropeanSportsTheme-module__rRO-Da__leagueSection,308.5,757,16px,400,24px,0px 0px 14px,normal,0px,visible
1363x936,BUTTON,EuropeanSportsTheme-module__rRO-Da__leagueHeader,308.5,35,12px,900,18px,8px 2px 9px,normal,0px,visible
1363x936,DIV,,140.453,18,12px,900,18px,0px,8px,0px,visible
1363x936,IMG,,18,18,12px,900,18px,0px,normal,2px,clip
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__eventList,308.5,708,16px,400,24px,8px 0px 0px,8px,0px,visible
1363x936,ARTICLE,EuropeanSportsTheme-module__rRO-Da__eventCard EuropeanSportsTheme-module__rRO-Da__eventCardWithBackground EuropeanSportsTheme-module__rRO-Da__eventCardClickable EuropeanSportsTheme-module__rRO-Da__eventCardSelected,308.5,228,16px,400,24px,12px,12px,4px,hidden
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__eventMetaRow,282.5,24,16px,400,24px,0px,normal,0px,visible
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__startTime,98.781,16.5,11px,800,16.5px,0px,normal,0px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__leagueMeta,87.734,19.5,16px,400,24px,0px,3px,0px,visible
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__leagueName,87.734,19.5,13px,800,19.5px,0px,normal,0px,hidden
1363x936,BUTTON,EuropeanSportsTheme-module__rRO-Da__marketOpenButton ,54,24,11px,900,16.5px,0px,2px,5px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__scoreRow,282.5,38,16px,400,24px,0px,8px,0px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__team,73.25,19.5,13px,900,19.5px,0px,6px,0px,visible
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__teamName,61.203,19.5,13px,900,19.5px,0px,normal,0px,hidden
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__scoreBox,120,30,16px,400,24px,0px,2px,0px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__scoreValue,28.234,30,16px,400,24px,0px,15px,0px,visible
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__scoreSeparator,28.234,30,20px,900,30px,0px,normal,0px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__primaryMarkets,282.5,116,16px,400,24px,0px,4px,0px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__marketRow EuropeanSportsTheme-module__rRO-Da__marketRowTwo,282.5,36,16px,400,24px,0px,4px,0px,visible
1363x936,BUTTON,EuropeanSportsTheme-module__rRO-Da__oddsButton,139.25,36,11px,850,16.5px,0px 9px,8px,4px,hidden
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__oddsLabel,80,18,12px,850,18px,0px,normal,0px,hidden
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__oddsValue,31.25,21,14px,950,21px,0px,3px,0px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__marketRow EuropeanSportsTheme-module__rRO-Da__marketRowThree,282.5,36,16px,400,24px,0px,4px,0px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__marketCenter,91.5,36,16px,900,17.6px,0px,normal,4px,visible
